user_id,product_id
2,411
8,523
7,927
3,794
9,32
8,478
3,536
3,688
6,259
3,376
6,747
2,450
2,305
1,867
1,306
9,742
6,949
7,834
1,974
5,371
2,861
1,831
1,155
6,688
4,521
9,697
7,434
4,387
7,918
7,403
10,1040
3,401
2,247
1,1036
3,980
8,595
6,441
4,566
10,154
2,1041
6,101
3,947
8,972
4,459
5,737
10,103
10,338
3,392
4,1024
6,997
5,854
5,876
6,432
1,870
9,433
7,160
9,532
4,504
3,452
5,88
8,860
10,1040
10,881
7,630
8,593
7,423
2,215
7,229
10,217
1,672
6,20
4,408
9,345
1,709
4,436
4,910
5,595
5,883
8,933
1,750
6,72
9,686
8,1042
3,780
7,875
9,535
1,922
2,591
2,750
9,77
7,223
2,877
3,853
3,918
10,889
7,721
4,448
2,1005
1,468
7,497
4,835
10,988
10,678
10,536
5,437
9,635
4,53
9,471
5,1037
8,615
3,118
3,910
5,715
3,925
1,526
9,670
6,901
10,665
10,232
4,724
10,285
5,882
10,379
6,913
10,803
9,27
5,202
8,705
2,1084
3,389
3,625
10,1017
3,483
5,389
7,313
1,944
8,307
4,555
3,395
9,176
5,1011
1,5
2,970
1,732
2,1066
4,812
8,974
6,112
10,844
9,849
1,351
7,119
2,71
4,182
6,290
1,88
8,603
6,6
9,587
5,142
2,441
8,603
8,93
2,577
9,672
4,495
4,664
3,156
10,21
1,301
9,981
4,169
8,73
7,811
4,368
7,125
3,76
9,128
2,2
4,759
7,201
6,554
8,684
9,919
8,699
8,484
3,783
9,272
6,732
1,178
3,847
7,984
7,695
7,293
9,650
5,112
7,89
2,519
4,183
2,460
